Student_ID,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Screen_Time_Per_Day,Physical_Activity_Hours,Attendance_Percentage,Healthy_Eating_Score,Academic_Performance
S00081,2.7,9.2,5.5,0.7,90.2,7,41.8
S00082,3.5,5.4,3.8,1.4,66.0,1,49.7
S00083,5.2,7.3,1.0,0.9,74.5,8,43.1
S00084,2.2,8.9,7.4,0.7,91.5,2,50.9
S00085,1.8,7.7,8.6,0.8,86.6,1,43.2
S00086,2.2,7.2,3.8,0.1,87.9,6,51.1
S00087,4.4,5.8,2.9,0.6,85.3,4,62.2
S00088,3.5,5.3,4.7,0.4,84.9,7,53.8
S00089,2.2,7.9,4.6,0.9,86.0,3,44.5
S00090,3.8,8.8,7.0,1.3,74.4,2,59.5
S00091,3.1,6.5,5.1,1.3,82.7,4,53.8
S00092,4.5,5.6,3.4,1.6,72.6,4,46.7
S00093,1.9,4.1,2.4,1.5,78.8,4,21.6
S00094,2.5,5.8,6.7,0.7,97.0,3,40.1
S00095,2.4,6.9,6.2,1.0,83.2,7,47.7
S00096,0.8,8.9,7.1,1.0,91.0,5,47.9
S00097,3.4,7.8,3.1,0.0,86.2,4,53.3
S00098,3.4,7.4,8.7,0.4,81.2,5,43.0
S00099,3.0,6.5,1.5,0.9,74.9,7,51.7
S00100,2.6,6.3,6.4,0.9,81.0,4,33.2
S00101,0.9,8.7,1.2,1.3,86.8,10,57.1
S00102,2.4,7.2,3.4,1.2,90.8,5,53.2
S00103,2.5,4.5,8.1,0.1,86.2,6,25.8
S00104,1.8,6.2,6.7,1.3,91.5,6,34.9
S00105,2.8,6.0,3.9,1.1,69.8,7,42.0
S00106,3.6,6.3,4.0,1.3,93.7,10,69.0
S00107,5.8,7.7,5.2,1.5,73.7,3,70.1
S00108,3.3,6.9,6.0,0.9,94.8,8,33.4
S00109,3.4,6.9,7.5,1.6,90.0,5,44.8
S00110,2.9,8.6,4.1,0.6,66.3,1,47.8
S00111,0.1,6.2,1.8,0.5,92.4,4,32.8
S00112,3.0,9.2,5.3,1.2,95.0,4,49.6
S00113,3.1,6.2,4.1,0.8,97.6,8,55.2
S00114,6.7,7.1,2.4,1.1,77.3,10,72.3
S00115,2.7,6.7,5.6,2.0,86.8,9,45.9
S00116,3.5,7.1,4.6,1.2,91.9,3,53.1
S00117,2.9,7.5,5.6,1.1,92.4,10,48.8
S00118,1.2,7.5,3.2,0.6,89.1,1,27.3
S00119,4.7,6.1,6.0,0.2,80.7,8,41.1
S00120,4.1,5.7,2.4,1.0,94.9,9,45.7
S00121,4.2,10.0,3.3,1.5,94.9,4,71.2
S00122,1.6,6.4,4.5,0.8,83.5,5,31.1
S00123,5.1,7.8,8.5,1.2,77.2,4,47.6
S00124,0.9,5.1,6.6,1.7,77.7,4,22.9
S00125,3.9,6.7,7.2,1.7,98.6,3,52.6
S00126,6.3,6.8,7.8,1.2,94.5,10,58.4
S00127,1.5,7.6,12.0,1.1,84.8,4,27.5
S00128,2.2,4.0,5.1,0.2,83.0,9,27.7
S00129,3.1,7.2,7.8,0.7,67.3,7,65.5
S00130,2.2,5.6,7.0,0.9,84.2,6,32.9
S00131,0.7,7.4,7.0,0.6,73.1,9,26.7
S00132,3.1,5.8,8.5,1.1,86.6,2,12.6
S00133,1.4,6.0,4.2,2.0,96.9,4,36.1
S00134,3.7,6.7,4.0,1.8,75.2,9,68.1
S00135,1.6,5.7,5.6,1.1,87.4,8,19.7
S00136,5.3,6.4,4.6,1.4,95.0,1,50.7
S00137,1.8,5.6,5.6,0.6,87.2,9,53.8
S00138,2.5,4.8,8.1,1.7,79.8,10,17.9
S00139,4.2,8.2,4.0,0.2,85.1,2,64.9
S00140,1.2,5.4,4.4,1.5,94.6,1,29.4
S00141,3.3,6.8,5.3,1.2,87.6,2,35.6
S00142,5.0,7.9,4.5,0.6,85.0,10,67.5
S00143,0.6,6.3,1.2,0.9,96.6,6,16.3
S00144,3.3,6.0,3.8,0.4,90.1,2,53.2
S00145,3.4,7.3,6.4,0.5,73.0,1,37.8
S00146,4.2,8.3,7.9,0.2,91.3,5,39.8
S00147,1.1,5.6,2.7,1.4,94.5,2,47.6
S00148,1.0,6.8,2.7,1.6,72.6,4,37.1
S00149,3.8,4.9,5.1,0.0,62.3,8,48.7
S00150,3.4,6.5,1.0,1.9,74.6,10,72.1
S00151,3.4,7.0,4.1,1.0,84.0,6,41.2
S00152,3.5,6.0,1.5,1.1,95.1,8,29.8
S00153,2.0,6.5,7.7,0.3,76.1,5,37.2
S00154,3.3,5.3,3.5,1.7,90.6,2,43.0
S00155,3.4,7.1,8.3,1.1,56.1,1,45.7
S00156,1.9,8.3,7.2,1.6,86.8,8,58.8
S00157,5.8,5.7,3.7,1.6,80.9,1,42.0
S00158,3.7,6.3,2.9,1.7,100.0,10,48.8
S00159,1.2,7.6,4.6,0.7,66.1,9,41.2
S00160,4.0,8.5,4.8,0.9,84.9,4,58.3
S00161,1.5,5.2,5.7,0.7,66.0,6,24.4
S00162,4.2,6.8,3.4,1.4,79.5,6,67.8
S00163,4.7,7.3,6.5,1.2,68.0,3,27.0
S00164,1.8,6.9,5.5,1.5,100.0,1,23.9
S00165,4.4,4.0,4.3,1.6,81.4,6,51.7
S00166,3.6,7.6,3.6,0.1,82.9,10,49.3
S00167,4.2,8.8,4.6,1.7,84.6,5,69.7
S00168,5.8,7.1,3.4,1.5,73.7,4,81.2
S00169,2.6,5.8,5.1,0.8,95.6,9,25.8
S00170,1.9,6.4,5.2,1.2,91.4,4,34.2
S00171,1.7,9.1,5.5,0.9,94.2,1,33.4
S00172,1.8,8.1,8.5,1.3,72.8,10,44.5
S00173,2.9,7.8,4.7,0.8,96.4,6,40.7
S00174,3.5,7.4,7.0,1.2,95.2,7,62.0
S00175,3.4,6.2,5.5,1.0,82.7,1,37.6
S00176,4.2,6.8,4.5,0.8,94.0,9,47.1
S00177,3.0,6.9,4.8,1.1,87.7,10,56.1
S00178,5.2,7.7,4.9,2.4,69.1,2,62.9
S00179,2.6,8.8,5.6,0.7,83.2,7,57.4
S00180,7.1,8.3,3.1,0.9,80.2,8,66.2
S00181,3.9,5.3,2.1,0.7,85.9,8,50.0
S00182,1.7,7.3,6.3,0.7,95.2,1,49.0
S00183,1.4,7.9,6.8,1.4,68.6,10,38.1
S00184,3.7,7.7,6.5,1.4,80.6,1,35.5
S00185,2.7,6.2,5.3,1.0,76.8,10,58.0
S00186,4.1,10.0,6.5,1.5,77.2,4,50.0
S00187,3.7,5.5,6.4,1.4,76.8,2,34.4
S00188,2.9,5.7,6.6,0.9,85.7,10,25.8
S00189,1.7,7.3,3.3,0.2,90.2,4,51.4
S00190,0.7,9.5,2.8,1.4,88.5,6,75.0
S00191,2.3,6.0,4.2,1.1,86.9,3,38.1
S00192,4.3,6.7,5.0,1.0,91.2,10,72.4
S00193,3.3,8.3,4.5,0.8,100.0,3,74.2
S00194,1.1,7.0,1.2,1.4,86.4,1,43.8
S00195,3.3,6.6,8.4,1.2,95.2,5,39.0
S00196,3.6,7.7,4.5,0.9,94.6,7,50.4
S00197,1.7,7.3,5.3,0.4,100.0,6,40.6
S00198,3.2,8.2,7.5,1.5,90.6,4,66.4
S00199,3.1,8.5,1.0,1.3,76.6,6,62.1
S00200,1.3,7.4,4.0,1.1,88.0,3,37.6
S00201,3.5,7.4,4.2,0.0,87.5,3,49.7
S00202,3.8,7.3,4.3,1.0,93.2,7,58.5
S00203,4.6,7.6,4.7,0.9,76.3,9,54.0
S00204,4.6,7.1,7.9,0.7,97.7,1,46.7
S00205,0.9,7.0,6.3,1.4,85.1,4,26.5
S00206,1.6,8.4,6.9,1.4,93.4,10,32.6
S00207,3.8,8.8,5.1,1.2,88.1,5,63.3
S00208,3.8,5.2,2.2,1.5,86.2,2,40.5
S00209,3.8,7.0,1.0,0.5,87.3,10,57.8
S00210,8.8,6.2,1.9,0.8,91.7,3,78.2
S00211,3.9,6.6,5.7,1.0,100.0,5,57.6
S00212,4.7,7.5,5.1,0.7,64.8,8,54.0
S00213,4.4,7.8,4.6,1.4,90.4,3,64.0
S00214,4.0,6.9,4.3,0.7,85.4,3,36.9
S00215,2.5,4.7,9.0,1.6,83.2,6,39.8
S00216,4.1,5.8,3.4,0.5,61.4,8,55.0
S00217,1.8,8.1,6.9,2.1,90.8,1,53.8
S00218,2.6,4.0,5.0,2.0,83.8,7,37.6
S00219,2.3,8.4,4.9,1.0,76.7,7,50.1
S00220,3.1,7.6,7.4,1.6,85.4,3,40.9
S00221,6.5,8.6,7.9,0.8,82.1,3,68.0
S00222,0.2,6.8,4.5,1.5,67.6,9,21.1
S00223,4.0,4.5,6.6,0.9,85.9,10,32.7
S00224,0.6,7.5,5.7,0.4,90.8,1,25.2
S00225,2.3,8.5,5.0,0.0,79.5,1,41.9
S00226,4.6,8.1,5.4,0.9,87.6,2,33.5
S00227,3.1,6.2,3.6,1.1,86.1,6,36.1
S00228,1.4,7.1,4.4,1.7,95.5,8,26.5
S00229,1.9,6.4,3.8,1.0,84.0,10,55.6
S00230,4.0,6.0,6.8,1.5,93.0,1,34.9
S00231,1.9,8.1,4.8,0.8,81.9,1,34.3
S00232,3.3,5.6,2.4,0.8,100.0,2,46.0
S00233,3.1,5.9,3.6,1.5,80.6,7,48.2
S00234,2.0,5.7,1.0,0.0,78.2,4,44.7
S00235,6.2,5.2,4.0,1.0,84.0,1,52.6
S00236,4.0,7.2,5.1,0.8,77.7,8,50.7
S00237,0.0,8.4,4.7,1.7,72.5,4,49.8
S00238,3.3,6.8,9.0,0.7,92.3,7,38.9
S00239,2.0,5.2,6.1,1.3,54.4,8,32.7
S00240,4.3,8.0,6.1,1.5,77.8,1,63.7
S00241,1.8,9.0,1.7,0.3,71.6,2,58.2
S00242,2.8,6.2,4.3,0.9,86.4,2,25.7
S00243,3.8,6.4,4.0,0.8,63.1,5,52.7
S00244,4.3,7.6,3.4,1.5,90.5,5,60.2
S00245,1.2,8.9,3.4,1.3,91.6,6,63.2
S00246,2.5,6.4,1.4,0.9,68.7,2,36.4
S00247,2.3,5.4,2.4,0.5,86.9,8,32.2
S00248,2.0,7.8,6.7,1.5,90.2,1,36.9
S00249,5.6,8.0,4.7,1.0,94.4,9,73.8
S00250,3.6,7.0,4.0,0.2,70.3,5,60.4
S00251,1.1,6.3,5.0,0.2,68.9,10,28.8
S00252,4.4,8.2,7.3,1.2,100.0,8,61.8
S00253,6.2,7.6,5.0,0.4,76.8,8,59.9
S00254,4.5,6.1,6.1,1.9,79.7,2,49.8
S00255,0.7,7.1,3.3,0.5,91.3,9,41.4
S00256,2.3,5.4,3.8,1.0,73.3,6,56.3
S00257,4.9,7.8,5.7,1.1,82.3,3,68.0
S00258,1.9,6.7,8.8,0.6,93.9,1,41.6
S00259,3.7,6.5,7.9,0.0,70.8,9,38.5
S00260,4.2,7.0,6.2,1.1,80.0,3,34.1
S00261,1.6,7.0,5.3,0.6,73.7,1,57.4
S00262,2.9,8.1,7.8,1.1,77.3,5,29.0
S00263,0.0,7.7,6.6,0.9,96.9,8,25.8
S00264,1.5,6.8,1.0,1.1,99.1,7,44.0
S00265,2.6,7.9,2.9,1.8,87.6,5,64.9
S00266,1.1,7.5,5.7,0.7,90.3,2,46.0
S00267,5.4,6.5,1.4,0.8,90.0,2,58.2
S00268,0.9,6.9,3.2,0.2,78.3,3,37.1
S00269,2.3,6.8,3.6,0.9,87.4,6,37.5
S00270,3.2,7.6,4.5,1.2,72.0,4,42.8
S00271,5.2,6.6,4.4,0.8,75.4,9,65.0
S00272,0.8,6.5,4.4,1.2,84.1,3,19.6
S00273,4.7,9.4,6.7,0.9,74.4,6,63.4
S00274,3.0,8.1,4.5,0.3,72.3,4,43.3
S00275,1.5,6.1,4.2,1.2,77.9,1,14.9
S00276,3.7,7.7,2.3,0.9,96.5,1,55.4
S00277,3.3,7.1,7.0,1.1,100.0,8,55.0
S00278,2.1,7.5,3.7,0.7,84.7,3,47.1
S00279,3.1,7.2,2.8,0.7,90.8,2,39.5
S00280,2.4,8.4,5.4,1.1,79.4,1,48.1
S00281,3.2,7.4,3.5,0.9,64.3,8,35.1
S00282,4.0,6.9,3.9,1.9,76.1,9,76.0
S00283,5.4,8.3,5.5,1.4,81.9,1,64.9
S00284,1.1,7.3,4.3,1.3,86.4,8,45.1
S00285,6.2,7.1,9.6,0.9,84.0,1,68.6
S00286,0.1,7.4,4.9,0.0,82.2,10,32.0
S00287,2.8,6.9,6.2,0.6,79.3,2,42.3
S00288,3.9,7.0,1.1,0.7,88.4,1,49.2
S00289,3.4,6.3,3.3,0.9,71.4,2,28.1
S00290,2.1,6.1,2.8,1.0,93.0,2,34.9
S00291,2.7,5.8,3.1,1.3,79.1,5,45.3
S00292,2.3,5.3,5.8,1.1,100.0,10,37.0
S00293,2.1,5.9,7.1,1.6,81.8,3,36.2
S00294,4.3,6.8,5.7,0.8,80.2,1,38.8
S00295,3.5,7.1,4.5,1.1,79.4,10,44.9
S00296,2.0,6.7,3.7,1.2,80.3,2,50.3
S00297,4.3,4.2,7.2,1.1,91.1,4,41.0
S00298,3.5,8.9,9.1,1.6,84.6,7,37.0
S00299,4.2,8.3,5.3,1.4,94.9,1,68.5
S00300,3.9,7.5,6.9,0.3,89.6,5,63.6
S00301,1.8,9.3,5.7,0.9,85.3,2,37.1
S00302,2.2,5.8,6.5,1.0,88.7,8,34.8
S00303,4.1,9.3,2.7,2.1,97.0,2,65.3
S00304,3.9,5.8,4.0,0.8,91.6,4,37.7
S00305,3.0,7.3,5.8,0.5,87.8,6,44.9
S00306,3.2,5.5,7.4,1.2,89.2,9,42.1
S00307,4.9,7.0,3.4,1.2,73.5,10,62.9
S00308,2.1,7.5,1.0,1.0,100.0,4,69.9
S00309,3.8,6.8,4.0,0.9,90.3,4,42.5
S00310,2.7,7.9,7.0,1.5,91.3,7,35.1
S00311,2.7,7.1,1.8,0.6,84.7,1,59.7
S00312,4.6,6.4,2.6,0.8,62.0,5,65.4
S00313,4.2,6.3,5.3,0.7,82.3,5,29.0
S00314,4.2,8.0,4.8,1.5,85.8,1,49.2
S00315,5.0,6.2,6.2,1.1,76.8,6,35.5
S00316,3.0,8.1,2.5,0.5,76.7,9,64.1
S00317,4.0,8.5,4.4,0.5,81.6,7,66.8
S00318,2.5,5.0,7.4,1.9,92.7,2,32.3
S00319,3.5,8.4,2.6,1.5,97.6,4,70.7
S00320,2.8,9.5,8.0,1.4,86.7,8,56.7
S00321,3.1,7.3,2.9,1.0,79.3,1,54.5
S00322,3.9,7.7,6.7,1.8,81.4,6,47.6
S00323,1.8,8.2,4.3,0.4,86.0,3,30.3
S00324,6.1,6.7,2.7,1.4,87.2,3,64.8
S00325,1.5,7.2,4.0,0.8,89.3,1,39.3
S00326,1.2,5.4,6.1,0.9,80.6,8,33.5
S00327,4.7,7.2,5.0,1.4,90.3,5,59.4
S00328,4.2,7.6,7.2,0.9,89.5,1,49.9
S00329,3.9,7.6,7.9,0.8,81.0,5,50.2
S00330,3.9,8.3,2.6,0.8,67.8,5,50.2
S00331,3.0,6.1,2.5,0.0,76.2,9,41.3
S00332,1.7,6.4,2.4,1.4,100.0,10,51.6
S00333,3.1,9.3,3.2,0.5,68.1,3,52.8
S00334,2.0,6.8,7.2,1.9,98.2,9,36.2
S00335,4.5,7.2,6.1,0.9,67.7,8,58.1
S00336,2.8,6.9,3.9,1.7,77.3,10,41.7
S00337,1.8,6.0,5.0,0.1,81.3,2,28.8
S00338,2.5,8.9,7.8,1.4,100.0,9,30.9
S00339,3.6,6.4,8.8,1.5,85.3,5,51.4
S00340,2.2,5.6,5.5,1.7,82.9,8,49.1
S00341,1.8,6.5,1.0,0.2,75.6,8,52.7
S00342,3.4,4.6,5.6,0.6,90.2,4,39.3
S00343,3.4,6.2,6.9,1.3,79.9,1,30.5
S00344,2.2,5.8,5.4,1.1,82.7,9,32.8
S00345,2.3,7.7,6.5,1.1,81.4,6,34.1
S00346,3.3,6.2,5.7,0.8,92.2,2,35.4
S00347,0.8,8.1,2.5,1.8,92.6,4,40.7
S00348,0.9,8.7,3.2,2.3,76.1,10,43.2
S00349,1.9,7.9,4.4,1.1,78.7,5,54.6
S00350,2.7,6.7,7.1,1.2,77.7,6,40.2
S00351,3.5,7.2,3.5,1.0,86.8,5,65.4
S00352,5.2,5.2,5.9,1.6,94.1,9,45.6
S00353,4.3,6.8,5.6,1.4,87.0,10,57.0
S00354,2.8,6.0,8.2,0.5,63.1,2,30.9
S00355,3.0,7.8,4.9,0.7,92.6,3,53.5
S00356,1.5,10.0,1.5,0.5,71.5,10,63.1
S00357,3.0,7.6,6.3,2.3,77.8,3,58.6
S00358,2.6,4.6,9.3,1.3,87.0,3,23.8
S00359,3.5,6.6,6.4,0.7,84.2,6,44.5
S00360,1.8,7.1,3.4,0.7,93.7,8,51.9
S00361,3.8,7.1,2.8,1.4,78.9,5,73.6
S00362,5.3,6.1,3.1,1.5,75.3,6,61.0
S00363,2.8,7.3,9.0,1.4,81.9,1,36.9
S00364,3.6,5.5,4.3,0.8,94.8,10,45.3
S00365,4.0,5.9,3.7,1.2,91.3,3,31.8
S00366,2.4,7.8,4.7,1.1,85.9,4,49.5
S00367,3.3,5.8,4.4,0.5,98.3,7,38.5
S00368,3.0,7.6,8.1,0.5,96.4,5,31.6
S00369,3.1,5.4,3.0,1.2,92.9,1,49.8
S00370,1.8,9.1,7.4,1.1,73.2,3,41.5
S00371,3.0,6.1,5.2,1.3,92.8,2,51.0
S00372,3.7,6.7,7.4,1.4,83.0,6,45.2
S00373,5.2,7.4,8.2,1.7,81.1,5,44.0
S00374,4.4,6.3,5.2,0.6,78.2,3,51.3
S00375,6.2,7.2,4.4,1.3,83.3,2,48.1
S00376,1.8,7.7,5.1,1.4,78.7,1,49.0
S00377,4.3,8.2,4.8,0.8,86.7,2,70.6
S00378,3.3,7.9,1.7,1.1,83.3,5,55.0
S00379,6.3,6.8,8.1,0.9,87.2,5,60.1
S00380,1.8,6.8,5.5,2.1,90.5,9,53.5
S00381,1.7,9.8,2.7,1.1,82.1,6,53.9
S00382,2.1,8.1,1.0,1.2,77.6,3,36.5
S00383,0.0,5.9,1.0,0.9,64.9,10,46.0
S00384,2.2,7.1,6.5,0.8,92.7,3,34.1
S00385,1.9,6.6,3.8,0.3,85.8,3,37.0
S00386,3.2,6.8,4.1,1.5,83.2,8,64.9
S00387,3.5,5.5,6.0,1.4,96.7,9,66.7
S00388,5.8,6.5,4.0,0.8,72.1,3,54.0
S00389,4.4,9.2,6.1,0.5,85.6,1,68.1
S00390,2.1,7.7,5.2,1.1,75.4,8,46.5
S00391,1.7,4.0,4.8,0.8,91.6,10,45.6
S00392,3.7,8.5,1.9,0.9,62.7,2,57.6
S00393,1.0,8.3,3.4,0.4,93.0,7,45.7
S00394,5.7,6.6,6.2,1.1,92.6,7,54.0
S00395,4.8,7.9,3.6,1.1,75.8,9,80.3
S00396,2.3,6.0,7.4,1.5,85.7,8,30.7
S00397,0.4,6.4,9.7,0.9,76.0,9,15.9
S00398,5.0,8.8,6.3,0.8,89.3,1,67.5
S00399,2.8,6.7,8.0,0.2,93.2,3,29.2
S00400,4.9,4.8,6.4,1.6,75.0,4,50.0
S00401,0.6,6.9,3.9,1.4,72.0,3,31.2
S00402,2.1,6.9,5.4,1.0,96.0,8,35.4
S00403,3.0,8.4,9.0,0.3,100.0,7,42.4
S00404,3.1,7.0,4.0,0.4,89.9,5,37.6
S00405,2.3,6.5,2.9,0.7,90.7,5,32.8
S00406,3.9,8.3,2.7,1.5,81.7,4,55.9
S00407,1.4,7.1,4.6,1.1,86.8,5,58.9
S00408,2.8,6.1,3.0,0.3,88.5,5,38.1
S00409,3.2,8.4,8.3,1.2,83.2,4,63.5
S00410,3.8,7.2,5.4,0.6,98.5,5,56.6
S00411,4.1,7.0,6.9,0.7,86.8,7,46.5
S00412,1.3,7.2,4.4,1.5,88.1,9,35.1
S00413,0.7,5.7,2.7,1.4,83.4,7,34.8
S00414,4.9,6.4,2.4,1.5,84.4,1,77.8
S00415,3.5,7.0,3.2,1.0,97.2,9,41.0
S00416,1.9,6.8,5.7,1.4,86.5,3,35.4
S00417,5.3,8.5,6.0,0.7,86.7,2,70.5
S00418,3.2,7.3,6.2,0.9,86.8,10,45.9
S00419,4.8,8.0,2.0,0.8,81.4,9,67.4
S00420,3.1,7.0,5.0,1.0,70.9,2,24.9
S00421,6.1,8.3,2.9,0.4,100.0,10,74.9
S00422,5.6,7.5,5.8,0.9,95.7,9,66.6
S00423,2.6,7.0,6.0,1.7,97.5,5,42.9
S00424,4.5,7.0,2.7,0.5,74.3,6,55.2
S00425,4.0,5.9,6.9,0.3,99.4,7,55.5
S00426,5.1,7.6,9.7,0.4,100.0,7,57.0
S00427,1.6,7.0,6.7,2.3,95.4,4,41.5
S00428,4.0,6.4,4.7,1.2,100.0,4,71.0
S00429,4.6,8.3,4.4,0.9,93.0,5,58.5
S00430,0.4,5.5,4.6,1.0,76.5,9,27.3
S00431,1.2,6.5,3.5,1.1,90.1,10,54.7
S00432,0.0,8.2,5.5,0.7,74.8,1,27.5
S00433,2.6,7.4,2.7,0.7,79.0,8,67.6
S00434,4.1,6.9,1.2,0.9,88.2,8,58.9
S00435,5.3,7.3,5.4,0.6,86.8,7,70.4
S00436,3.1,7.2,5.0,0.8,89.6,6,54.9
S00437,5.4,5.2,3.9,1.2,67.1,3,46.7
S00438,0.9,6.6,2.4,0.5,83.5,8,41.2
S00439,0.4,8.9,5.6,2.3,90.5,7,45.0
S00440,2.9,6.2,3.0,1.4,92.5,8,53.0
S00441,3.6,6.6,4.7,0.4,93.1,2,67.7
S00442,3.0,6.4,8.5,0.0,87.5,8,42.2
S00443,0.0,6.9,6.3,0.7,81.2,7,25.1
S00444,2.9,6.3,2.3,1.3,90.0,6,39.1
S00445,1.0,7.6,2.5,1.2,82.0,9,43.8
S00446,4.0,7.2,5.3,0.9,94.0,8,48.0
S00447,3.5,7.9,2.2,0.7,89.3,5,49.4
S00448,1.6,5.7,1.0,0.5,84.4,5,39.1
S00449,2.2,6.6,6.1,0.8,77.3,9,24.8
S00450,1.4,6.7,5.6,0.5,96.2,8,16.0
S00451,2.9,7.5,5.9,0.8,90.6,4,48.1
S00452,4.4,6.0,5.5,1.7,100.0,9,74.8
S00453,1.5,8.1,4.9,0.6,90.3,6,50.6
S00454,3.8,8.4,3.7,1.3,91.1,5,51.2
S00455,2.2,5.8,6.0,1.4,70.3,10,44.7
S00456,1.8,6.4,8.1,0.5,88.1,7,56.4
S00457,2.8,6.4,4.0,0.6,81.8,9,40.1
S00458,1.4,10.0,3.0,1.5,93.3,1,40.8
S00459,2.2,6.5,2.7,0.5,88.3,9,49.9
S00460,1.2,9.0,3.3,1.0,94.9,10,66.8
